city,lat,lng,country,iso2,admin_name,population,population_proper
Berlin,52.5167,13.3833,Germany,DE,Berlin,3644826,3644826
Hamburg,53.55,10,Germany,DE,Hamburg,1841179,1841179
Munich,48.1372,11.5755,Germany,DE,Bavaria,1471508,1471508
Cologne,50.9422,6.9578,Germany,DE,North Rhine-Westphalia,1085664,1085664
Frankfurt,50.1136,8.6797,Germany,DE,Hesse,753056,753056
Bremen,53.1153,8.7975,Germany,DE,Bremen,724909,546501
Stuttgart,48.7761,9.1775,Germany,DE,Baden-Württemberg,634830,634830
Düsseldorf,51.2311,6.7724,Germany,DE,North Rhine-Westphalia,619294,619294
Dortmund,51.5139,7.4653,Germany,DE,North Rhine-Westphalia,587010,587010
Essen,51.4508,7.0131,Germany,DE,North Rhine-Westphalia,583109,583109
Dresden,51.0493,13.7384,Germany,DE,Saxony,555805,555805
Leipzig,51.35,12.3833,Germany,DE,Saxony,542529,504971
Hannover,52.3744,9.7386,Germany,DE,Lower Saxony,538068,538068
Nuremberg,49.4528,11.0778,Germany,DE,Bavaria,518365,518365
Duisburg,51.4322,6.7611,Germany,DE,North Rhine-Westphalia,498590,498590
Bochum,51.4833,7.2167,Germany,DE,North Rhine-Westphalia,364628,364628
Wuppertal,51.2667,7.1833,Germany,DE,North Rhine-Westphalia,354382,354382
Bielefeld,52.0167,8.5333,Germany,DE,North Rhine-Westphalia,333786,333786
Bonn,50.7339,7.0997,Germany,DE,North Rhine-Westphalia,327258,327258
Münster,51.9625,7.6256,Germany,DE,North Rhine-Westphalia,314319,314319
Karlsruhe,49.0167,8.4,Germany,DE,Baden-Württemberg,313092,313092
Mannheim,49.4878,8.4661,Germany,DE,Baden-Württemberg,309370,309370
Augsburg,48.3717,10.8983,Germany,DE,Bavaria,295135,295135
Wiesbaden,50.0825,8.24,Germany,DE,Hesse,278342,278342
Mönchengladbach,51.2,6.4333,Germany,DE,North Rhine-Westphalia,261454,261454
Gelsenkirchen,51.5167,7.1,Germany,DE,North Rhine-Westphalia,260654,260654
Braunschweig,52.2692,10.5211,Germany,DE,Lower Saxony,248292,248292
Kiel,54.3233,10.1394,Germany,DE,Schleswig-Holstein,247548,247548
Aachen,50.7762,6.0838,Germany,DE,North Rhine-Westphalia,247380,247380
Chemnitz,50.8333,12.9167,Germany,DE,Saxony,245403,245403
Halle,51.4828,11.9697,Germany,DE,Saxony-Anhalt,239257,239257
Magdeburg,52.1278,11.6292,Germany,DE,Saxony-Anhalt,238697,238697
Freiburg im Breisgau,47.9947,7.8497,Germany,DE,Baden-Württemberg,230241,230241
Krefeld,51.3333,6.5667,Germany,DE,North Rhine-Westphalia,227020,227020
Lübeck,53.8697,10.6864,Germany,DE,Schleswig-Holstein,217198,217198
Oberhausen,51.4699,6.8514,Germany,DE,North Rhine-Westphalia,210829,210829
Rostock,54.0833,12.1333,Germany,DE,Mecklenburg-Western Pomerania,208886,208886
Erfurt,50.9787,11.0328,Germany,DE,Thuringia,203254,175476
Kassel,51.3158,9.4979,Germany,DE,Hesse,201585,201585
Hagen,51.3594,7.475,Germany,DE,North Rhine-Westphalia,188814,188814
Mainz,50,8.2711,Germany,DE,Rhineland-Palatinate,184997,184997
Saarbrücken,49.2333,7,Germany,DE,Saarland,180741,180741
Hamm,51.6667,7.8167,Germany,DE,North Rhine-Westphalia,179111,179111
Potsdam,52.4,13.0667,Germany,DE,Brandenburg,178089,178089
Ludwigshafen,49.4811,8.4353,Germany,DE,Rhineland-Palatinate,171061,171061
Mülheim,51.4283,6.8789,Germany,DE,North Rhine-Westphalia,170880,170880
Oldenburg,53.1439,8.2139,Germany,DE,Lower Saxony,168210,168210
Osnabrück,52.2789,8.0431,Germany,DE,Lower Saxony,164748,164748
Leverkusen,51.0333,6.9833,Germany,DE,North Rhine-Westphalia,163838,163838
Heidelberg,49.4122,8.71,Germany,DE,Baden-Württemberg,160355,160355
Solingen,51.1667,7.0833,Germany,DE,North Rhine-Westphalia,159360,159360
Darmstadt,49.8667,8.65,Germany,DE,Hesse,159207,159207
Herne,51.5426,7.219,Germany,DE,North Rhine-Westphalia,156374,156374
Neuss,51.2003,6.6939,Germany,DE,North Rhine-Westphalia,153796,153796
Regensburg,49.0167,12.0833,Germany,DE,Bavaria,152610,152610
Paderborn,51.7167,8.7667,Germany,DE,North Rhine-Westphalia,150580,150580
Ingolstadt,48.7636,11.4261,Germany,DE,Bavaria,136981,136981
Würzburg,49.7944,9.9294,Germany,DE,Bavaria,127880,127880
Fürth,49.4783,10.9903,Germany,DE,Bavaria,127748,127748
Ulm,48.3984,9.9916,Germany,DE,Baden-Württemberg,126329,126329
Heilbronn,49.1404,9.218,Germany,DE,Baden-Württemberg,125960,125960
Pforzheim,48.895,8.705,Germany,DE,Baden-Württemberg,125542,125542
Wolfsburg,52.4231,10.7872,Germany,DE,Lower Saxony,124151,124151
Göttingen,51.5339,9.9356,Germany,DE,Lower Saxony,119801,119801
Bottrop,51.5232,6.9253,Germany,DE,North Rhine-Westphalia,117383,117383
Reutlingen,48.4833,9.2167,Germany,DE,Baden-Württemberg,115966,115966
Koblenz,50.3597,7.5978,Germany,DE,Rhineland-Palatinate,114024,114024
Bremerhaven,53.55,8.5833,Germany,DE,Bremen,113634,113634
Recklinghausen,51.6167,7.2,Germany,DE,North Rhine-Westphalia,112267,112267
Bergisch Gladbach,50.9917,7.1367,Germany,DE,North Rhine-Westphalia,111966,111966
Erlangen,49.5964,11.0044,Germany,DE,Bavaria,111962,111962
Jena,50.9272,11.5864,Germany,DE,Thuringia,111407,111407
Remscheid,51.1906,7.2247,Germany,DE,North Rhine-Westphalia,110994,110994
Trier,49.7567,6.6414,Germany,DE,Rhineland-Palatinate,110636,110636
Salzgitter,52.1503,10.3593,Germany,DE,Lower Saxony,104948,104948
Moers,51.4592,6.6197,Germany,DE,North Rhine-Westphalia,103725,103725
Siegen,50.8756,8.0167,Germany,DE,North Rhine-Westphalia,102836,102836
Hildesheim,52.15,9.95,Germany,DE,Lower Saxony,101990,101990
Cottbus,51.7606,14.3342,Germany,DE,Brandenburg,100219,100219
Gütersloh,51.9,8.3833,Germany,DE,North Rhine-Westphalia,100194,100194
Kaiserslautern,49.4447,7.7689,Germany,DE,Rhineland-Palatinate,100030,100030
Witten,51.4333,7.3333,Germany,DE,North Rhine-Westphalia,96563,96563
Hanau,50.1328,8.9169,Germany,DE,Hesse,96023,96023
Schwerin,53.6333,11.4167,Germany,DE,Mecklenburg-Western Pomerania,95818,95818
Gera,50.8782,12.0824,Germany,DE,Thuringia,94152,94152
Esslingen,48.7406,9.3108,Germany,DE,Baden-Württemberg,93542,93542
Ludwigsburg,48.8975,9.1919,Germany,DE,Baden-Württemberg,93499,93499
Iserlohn,51.3833,7.6667,Germany,DE,North Rhine-Westphalia,92666,92666
Düren,50.8,6.4833,Germany,DE,North Rhine-Westphalia,90733,90733
Tübingen,48.52,9.0556,Germany,DE,Baden-Württemberg,90546,90546
Flensburg,54.7819,9.4367,Germany,DE,Schleswig-Holstein,90164,90164
Zwickau,50.7189,12.4961,Germany,DE,Saxony,89540,89540
Gießen,50.5833,8.6667,Germany,DE,Hesse,88546,88546
Ratingen,51.3,6.85,Germany,DE,North Rhine-Westphalia,87297,87297
Lünen,51.6167,7.5167,Germany,DE,North Rhine-Westphalia,86449,86449
Villingen-Schwenningen,48.0603,8.4586,Germany,DE,Baden-Württemberg,85181,85181
Konstanz,47.6633,9.1753,Germany,DE,Baden-Württemberg,84760,84760
Marl,51.6667,7.1167,Germany,DE,North Rhine-Westphalia,83941,83941
Worms,49.6319,8.3653,Germany,DE,Rhineland-Palatinate,83330,83330
Velbert,51.34,7.0416,Germany,DE,North Rhine-Westphalia,81984,81984
Minden,52.2883,8.9167,Germany,DE,North Rhine-Westphalia,81682,81682
Dessau-Roßlau,51.8333,12.2333,Germany,DE,Saxony-Anhalt,81237,81237
Neumünster,54.0714,9.99,Germany,DE,Schleswig-Holstein,79487,79487
Norderstedt,53.7064,10.0103,Germany,DE,Schleswig-Holstein,79159,79159
Delmenhorst,53.0506,8.6317,Germany,DE,Lower Saxony,77607,77607
Bamberg,49.8917,10.8917,Germany,DE,Bavaria,77592,77592
Viersen,51.2556,6.3917,Germany,DE,North Rhine-Westphalia,76905,76905
Marburg,50.8167,8.7667,Germany,DE,Hesse,76851,76851
Rheine,52.2833,7.4333,Germany,DE,North Rhine-Westphalia,76107,76107
Wilhelmshaven,53.5167,8.1333,Germany,DE,Lower Saxony,76097,76097
Gladbeck,51.5713,6.9827,Germany,DE,North Rhine-Westphalia,75687,75687
Lüneburg,53.2525,10.4144,Germany,DE,Lower Saxony,75351,75351
Troisdorf,50.8161,7.1556,Germany,DE,North Rhine-Westphalia,74903,74903
Dorsten,51.66,6.9642,Germany,DE,North Rhine-Westphalia,74736,74736
Bayreuth,49.9481,11.5783,Germany,DE,Bavaria,74657,74657
Detmold,51.9378,8.8833,Germany,DE,North Rhine-Westphalia,74388,74388
Arnsberg,51.3967,8.0644,Germany,DE,North Rhine-Westphalia,73628,73628
Castrop-Rauxel,51.55,7.3167,Germany,DE,North Rhine-Westphalia,73425,73425
Lüdenscheid,51.2198,7.6273,Germany,DE,North Rhine-Westphalia,72611,72611
Landshut,48.5397,12.1508,Germany,DE,Bavaria,72404,72404
Brandenburg,52.4117,12.5561,Germany,DE,Brandenburg,72124,72124
Bocholt,51.8333,6.6167,Germany,DE,North Rhine-Westphalia,71099,71099
Aschaffenburg,49.9757,9.1478,Germany,DE,Bavaria,70527,70527
Celle,52.6256,10.0825,Germany,DE,Lower Saxony,69602,69602
Kempten,47.7333,10.3167,Germany,DE,Bavaria,68907,68907
Fulda,50.5528,9.6775,Germany,DE,Hesse,68586,68586
Aalen,48.8372,10.0936,Germany,DE,Baden-Württemberg,68456,68456
Lippstadt,51.6667,8.35,Germany,DE,North Rhine-Westphalia,67901,67901
Dinslaken,51.5667,6.7333,Germany,DE,North Rhine-Westphalia,67525,67525
Herford,52.1146,8.6734,Germany,DE,North Rhine-Westphalia,66608,66608
Kerpen,50.8719,6.6961,Germany,DE,North Rhine-Westphalia,66206,66206
Weimar,50.9833,11.3167,Germany,DE,Thuringia,65090,65090
Plauen,50.495,12.1383,Germany,DE,Saxony,64931,64931
Sindelfingen,48.7133,9.0028,Germany,DE,Baden-Württemberg,64858,64858
Neuwied,50.4286,7.4614,Germany,DE,Rhineland-Palatinate,64574,64574
Dormagen,51.0964,6.84,Germany,DE,North Rhine-Westphalia,64335,64335
Neubrandenburg,53.5569,13.2608,Germany,DE,Mecklenburg-Western Pomerania,64086,64086
Grevenbroich,51.0883,6.5875,Germany,DE,North Rhine-Westphalia,63620,63620
Rosenheim,47.8561,12.1289,Germany,DE,Bavaria,63324,63324
Herten,51.6,7.1333,Germany,DE,North Rhine-Westphalia,61791,61791
Bergheim,50.9667,6.65,Germany,DE,North Rhine-Westphalia,61612,61612
Schwäbisch Gmünd,48.8,9.8,Germany,DE,Baden-Württemberg,61186,61186
Coburg,50.2666,10.9666,Germany,DE,Bavaria,61054,41901
Friedrichshafen,47.6542,9.4792,Germany,DE,Baden-Württemberg,60865,60865
Garbsen,52.4183,9.5981,Germany,DE,Lower Saxony,60754,60754
Wesel,51.6586,6.6178,Germany,DE,North Rhine-Westphalia,60357,60357
Hürth,50.8775,6.8761,Germany,DE,North Rhine-Westphalia,60189,60189
Offenburg,48.4708,7.9408,Germany,DE,Baden-Württemberg,59646,59646
Stralsund,54.3,13.0833,Germany,DE,Mecklenburg-Western Pomerania,59421,59421
Greifswald,54.0833,13.3833,Germany,DE,Mecklenburg-Western Pomerania,59382,59382
Langenfeld,51.1167,6.95,Germany,DE,North Rhine-Westphalia,58927,58927
Neu-Ulm,48.3833,10,Germany,DE,Bavaria,58707,58707
Unna,51.5347,7.6889,Germany,DE,North Rhine-Westphalia,58633,58633
Euskirchen,50.6597,6.7917,Germany,DE,North Rhine-Westphalia,57975,57975
Frankfurt (Oder),52.35,14.55,Germany,DE,Brandenburg,57873,57873
Göppingen,48.7025,9.6528,Germany,DE,Baden-Württemberg,57558,57558
Hameln,52.1031,9.36,Germany,DE,Lower Saxony,57510,57510
Stolberg,50.7667,6.2333,Germany,DE,North Rhine-Westphalia,56792,56792
Eschweiler,50.8167,6.2833,Germany,DE,North Rhine-Westphalia,56385,56385
Görlitz,51.1528,14.9872,Germany,DE,Saxony,56324,56324
Meerbusch,51.2667,6.6667,Germany,DE,North Rhine-Westphalia,56189,56189
Sankt Augustin,50.77,7.1867,Germany,DE,North Rhine-Westphalia,55767,55767
Hilden,51.1714,6.9394,Germany,DE,North Rhine-Westphalia,55764,55764
Waiblingen,48.8303,9.3169,Germany,DE,Baden-Württemberg,55449,55449
Baden-Baden,48.7619,8.2408,Germany,DE,Baden-Württemberg,55123,55123
Langenhagen,52.4394,9.74,Germany,DE,Lower Saxony,54631,54631
Hattingen,51.3992,7.1858,Germany,DE,North Rhine-Westphalia,54562,54562
Lingen,52.5233,7.3172,Germany,DE,Lower Saxony,54422,54422
Bad Homburg,50.2292,8.6105,Germany,DE,Hesse,54248,54248
Bad Salzuflen,52.0875,8.7506,Germany,DE,North Rhine-Westphalia,54127,54127
Pulheim,51,6.8,Germany,DE,North Rhine-Westphalia,54071,54071
Schweinfurt,50.05,10.2333,Germany,DE,Bavaria,54032,54032
Nordhorn,52.4333,7.0667,Germany,DE,Lower Saxony,53403,53403
Neustadt,49.35,8.15,Germany,DE,Rhineland-Palatinate,53148,53148
Wetzlar,50.5667,8.5,Germany,DE,Hesse,52954,52954
Ahlen,51.7633,7.8911,Germany,DE,North Rhine-Westphalia,52582,52582
Frechen,50.9167,6.8167,Germany,DE,North Rhine-Westphalia,52473,52473
Passau,48.5667,13.4667,Germany,DE,Bavaria,52469,52469
Wolfenbüttel,52.1622,10.5369,Germany,DE,Lower Saxony,52174,52174
Ibbenbüren,52.2778,7.7167,Germany,DE,North Rhine-Westphalia,51904,51904
Kleve,51.79,6.14,Germany,DE,North Rhine-Westphalia,51845,51845
Bad Kreuznach,49.8469,7.8669,Germany,DE,Rhineland-Palatinate,50948,50948
Goslar,51.906,10.4292,Germany,DE,Lower Saxony,50753,50753
Gummersbach,51.0333,7.5667,Germany,DE,North Rhine-Westphalia,50688,50688
Ravensburg,47.7831,9.6114,Germany,DE,Baden-Württemberg,50623,50623
Willich,51.2631,6.5492,Germany,DE,North Rhine-Westphalia,50592,50592
Speyer,49.3194,8.4311,Germany,DE,Rhineland-Palatinate,50378,50378
Böblingen,48.6833,9,Germany,DE,Baden-Württemberg,50155,50155
Peine,52.3203,10.2336,Germany,DE,Lower Saxony,49952,49952
Emden,53.3669,7.2061,Germany,DE,Lower Saxony,49913,49913
Elmshorn,53.7547,9.6536,Germany,DE,Schleswig-Holstein,49883,49883
Erftstadt,50.8167,6.7667,Germany,DE,North Rhine-Westphalia,49801,49801
Rastatt,48.8572,8.2031,Germany,DE,Baden-Württemberg,49783,49783
Heidenheim,48.6761,10.1544,Germany,DE,Baden-Württemberg,49526,49526
Lörrach,47.6156,7.6614,Germany,DE,Baden-Württemberg,49347,49347
Leonberg,48.8014,9.0131,Germany,DE,Baden-Württemberg,48733,48733
Bergkamen,51.6167,7.6333,Germany,DE,North Rhine-Westphalia,48725,48725
Bad Oeynhausen,52.2,8.8,Germany,DE,North Rhine-Westphalia,48702,48702
Freising,48.4028,11.7489,Germany,DE,Bavaria,48634,48634
Frankenthal,49.5333,8.35,Germany,DE,Rhineland-Palatinate,48561,48561
Rheda-Wiedenbrück,51.8417,8.3,Germany,DE,North Rhine-Westphalia,48505,48505
Cuxhaven,53.8667,8.7,Germany,DE,Lower Saxony,48358,48358
Bornheim,50.7592,7.005,Germany,DE,North Rhine-Westphalia,48326,48326
Gronau,52.2125,7.0417,Germany,DE,North Rhine-Westphalia,48072,48072
Straubing,48.8772,12.5758,Germany,DE,Bavaria,47794,47794
Stade,53.6008,9.4764,Germany,DE,Lower Saxony,47533,47533
Soest,51.5711,8.1092,Germany,DE,North Rhine-Westphalia,47460,47460
Dachau,48.2603,11.4342,Germany,DE,Bavaria,47400,47400
Alsdorf,50.8744,6.1615,Germany,DE,North Rhine-Westphalia,47018,47018
Landau,49.1994,8.1231,Germany,DE,Rhineland-Palatinate,46677,46677
Dülmen,51.8308,7.2783,Germany,DE,North Rhine-Westphalia,46590,46590
Melle,52.2031,8.3361,Germany,DE,Lower Saxony,46493,46493
Neunkirchen,49.3448,7.1799,Germany,DE,Saarland,46469,46469
Herzogenrath,50.8667,6.1,Germany,DE,North Rhine-Westphalia,46402,46402
Schwerte,51.4458,7.5653,Germany,DE,North Rhine-Westphalia,46340,46340
Oberursel,50.2028,8.5769,Germany,DE,Hesse,46248,46248
Wittenberg,51.8671,12.6484,Germany,DE,Saxony-Anhalt,46008,46008
Hof,50.3167,11.9167,Germany,DE,Bavaria,45930,45930
Filderstadt,48.6667,9.2167,Germany,DE,Baden-Württemberg,45813,45813
Gotha,50.9489,10.7183,Germany,DE,Thuringia,45733,45733
Fellbach,48.8086,9.2758,Germany,DE,Baden-Württemberg,45671,45671
Bünde,52.2,8.6,Germany,DE,North Rhine-Westphalia,45521,45521
Albstadt,48.2119,9.0239,Germany,DE,Baden-Württemberg,45327,45327
Weinheim,49.5561,8.6697,Germany,DE,Baden-Württemberg,45284,45284
Rodgau,50.0256,8.8841,Germany,DE,Hesse,45202,45202
Bruchsal,49.1333,8.6,Germany,DE,Baden-Württemberg,44644,44644
Oranienburg,52.7544,13.2369,Germany,DE,Brandenburg,44512,44512
Brühl,50.8333,6.9,Germany,DE,North Rhine-Westphalia,44397,44397
Erkrath,51.2239,6.9147,Germany,DE,North Rhine-Westphalia,44384,44384
Neustadt am Rübenberge,52.5055,9.4636,Germany,DE,Lower Saxony,44282,44282
Lehrte,52.3725,9.9769,Germany,DE,Lower Saxony,43999,43999
Kaufbeuren,47.88,10.6225,Germany,DE,Bavaria,43893,43893
Falkensee,52.5583,13.0917,Germany,DE,Brandenburg,43838,43838
Memmingen,47.9878,10.1811,Germany,DE,Bavaria,43837,43837
Kaarst,51.2278,6.6273,Germany,DE,North Rhine-Westphalia,43433,43433
Erkelenz,51.08,6.3156,Germany,DE,North Rhine-Westphalia,43364,43364
Pinneberg,53.6591,9.8009,Germany,DE,Schleswig-Holstein,43280,43280
Bietigheim-Bissingen,48.9667,9.1333,Germany,DE,Baden-Württemberg,43093,43093
Kamen,51.5917,7.6653,Germany,DE,North Rhine-Westphalia,42971,42971
Wismar,53.8925,11.465,Germany,DE,Mecklenburg-Western Pomerania,42550,42550
Borken,51.8439,6.8583,Germany,DE,North Rhine-Westphalia,42530,42530
Gifhorn,52.4886,10.5464,Germany,DE,Lower Saxony,42519,42519
Nettetal,51.3167,6.2833,Germany,DE,North Rhine-Westphalia,42493,42493
Eisenach,50.9747,10.3244,Germany,DE,Thuringia,42370,42370
Dreieich,50.0189,8.6961,Germany,DE,Hesse,42091,42091
Aurich,53.4714,7.4836,Germany,DE,Lower Saxony,41991,41991
Amberg,49.4444,11.8483,Germany,DE,Bavaria,41970,41970
Heinsberg,51.0631,6.0964,Germany,DE,North Rhine-Westphalia,41946,41946
Ansbach,49.3,10.5833,Germany,DE,Bavaria,41847,41847
Homburg,49.3167,7.3333,Germany,DE,Saarland,41811,41811
Nordhausen,51.505,10.7911,Germany,DE,Thuringia,41791,41791
Wunstorf,52.4238,9.4359,Germany,DE,Lower Saxony,41594,41594
Siegburg,50.8014,7.2044,Germany,DE,North Rhine-Westphalia,41463,41463
Laatzen,52.3077,9.8133,Germany,DE,Lower Saxony,41422,41422
Königswinter,50.6833,7.1833,Germany,DE,North Rhine-Westphalia,41243,41243
Nürtingen,48.6267,9.3353,Germany,DE,Baden-Württemberg,41093,41093
Freiberg,50.9119,13.3428,Germany,DE,Saxony,40885,40885
Schwabach,49.3292,11.0208,Germany,DE,Bavaria,40792,40792
Lemgo,52.0277,8.9043,Germany,DE,North Rhine-Westphalia,40696,40696
Kirchheim unter Teck,48.6483,9.4511,Germany,DE,Baden-Württemberg,40523,40523
Bensheim,49.6811,8.6228,Germany,DE,Hesse,40456,40456
Schwäbisch Hall,49.1122,9.7375,Germany,DE,Baden-Württemberg,40440,40440
Weißenfels,51.2,11.9667,Germany,DE,Saxony-Anhalt,40409,40409
Pirmasens,49.2,7.6,Germany,DE,Rhineland-Palatinate,40403,40403
Germering,48.1333,11.3667,Germany,DE,Bavaria,40389,40389
Eberswalde,52.8331,13.8331,Germany,DE,Brandenburg,40387,40387
Halberstadt,51.8958,11.0467,Germany,DE,Saxony-Anhalt,40256,40256
Buxtehude,53.4769,9.7011,Germany,DE,Lower Saxony,40150,40150
Leinfelden-Echterdingen,48.6928,9.1428,Germany,DE,Baden-Württemberg,40092,40092
Neumarkt,49.2833,11.4667,Germany,DE,Bavaria,40002,40002
Hückelhoven,51.0608,6.2197,Germany,DE,North Rhine-Westphalia,39931,39931
Hofheim,50.0876,8.4447,Germany,DE,Hesse,39766,39766
Freital,51.0167,13.65,Germany,DE,Saxony,39709,39709
Löhne,52.2,8.7,Germany,DE,North Rhine-Westphalia,39697,39697
Schorndorf,48.8,9.5333,Germany,DE,Baden-Württemberg,39634,39634
Stendal,52.6,11.85,Germany,DE,Saxony-Anhalt,39439,39439
Völklingen,49.25,6.8333,Germany,DE,Saarland,39374,39374
Ettlingen,48.9333,8.4,Germany,DE,Baden-Württemberg,39339,39339
Ostfildern,48.7228,9.2631,Germany,DE,Baden-Württemberg,39321,39321
Maintal,50.15,8.8333,Germany,DE,Hesse,39298,39298
Ahaus,52.0794,7.0134,Germany,DE,North Rhine-Westphalia,39223,39223
Ilmenau,50.6872,10.9142,Germany,DE,Thuringia,39017,39017
Mettmann,51.25,6.9667,Germany,DE,North Rhine-Westphalia,38829,38829
Würselen,50.8247,6.1275,Germany,DE,North Rhine-Westphalia,38712,38712
Bitterfeld,51.6167,12.3167,Germany,DE,Saxony,38475,38475
Bautzen,51.1814,14.4239,Germany,DE,Saxony,38329,38329
Pirna,50.9622,13.9403,Germany,DE,Saxony,38316,38316
Niederkassel,50.8167,7.0333,Germany,DE,North Rhine-Westphalia,38218,38218
Langen,49.9893,8.6803,Germany,DE,Hesse,37902,37902
Greven,52.0917,7.6083,Germany,DE,North Rhine-Westphalia,37692,37692
Fürstenfeldbruck,48.1778,11.2556,Germany,DE,Bavaria,37677,37677
Neu Isenburg,50.0558,8.6971,Germany,DE,Hesse,37668,37668
Papenburg,53.0667,7.4,Germany,DE,Lower Saxony,37579,37579
Kamp-Lintfort,51.5,6.5333,Germany,DE,North Rhine-Westphalia,37391,37391
Backnang,48.9464,9.4306,Germany,DE,Baden-Württemberg,37253,37253
Warendorf,51.9539,7.9933,Germany,DE,North Rhine-Westphalia,37226,37226
